130,223.60,279.50,358.80,512.20,812.50,928.20,956.80,976.30,997.10,431.60
131,225.32,281.65,361.56,516.14,818.75,935.34,964.16,983.81,"1,004.77",434.92
132,227.04,283.80,364.32,520.08,825.00,942.48,971.52,991.32,"1,012.44",438.24
133,228.76,285.95,367.08,524.02,831.25,949.62,978.88,998.83,"1,020.11",441.56
134,230.48,288.10,369.84,527.96,837.50,956.76,986.24,"1,006.34","1,027.78",444.88
135,232.20,290.25,372.60,531.90,843.75,963.90,993.60,"1,013.85","1,035.45",448.20
136,233.92,292.40,375.36,535.84,850.00,971.04,"1,000.96","1,021.36","1,043.12",451.52
137,235.64,294.55,378.12,539.78,856.25,978.18,"1,008.32","1,028.87","1,050.79",454.84
138,237.36,296.70,380.88,543.72,862.50,985.32,"1,015.68","1,036.38","1,058.46",458.16
139,239.08,298.85,383.64,547.66,868.75,992.46,"1,023.04","1,043.89","1,066.13",461.48
140,240.80,301.00,386.40,551.60,875.00,999.60,"1,030.40","1,051.40","1,073.80",464.80
141,242.52,303.15,389.16,555.54,881.25,"1,006.74","1,037.76","1,058.91","1,081.47",468.12
142,244.24,305.30,391.92,559.48,887.50,"1,013.88","1,045.12","1,066.42","1,089.14",471.44
143,245.96,307.45,394.68,563.42,893.75,"1,021.02","1,052.48","1,073.93","1,096.81",474.76
144,247.68,309.60,397.44,567.36,900.00,"1,028.16","1,059.84","1,081.44","1,104.48",478.08
145,249.40,311.75,400.20,571.30,906.25,"1,035.30","1,067.20","1,088.95","1,112.15",481.40
146,251.12,313.90,402.96,575.24,912.50,"1,042.44","1,074.56","1,096.46","1,119.82",484.72
147,252.84,316.05,405.72,579.18,918.75,"1,049.58","1,081.92","1,103.97","1,127.49",488.04
148,254.56,318.20,408.48,583.12,925.00,"1,056.72","1,089.28","1,111.48","1,135.16",491.36
149,256.28,320.35,411.24,587.06,931.25,"1,063.86","1,096.64","1,118.99","1,142.83",494.68
150,258.00,322.50,414.00,591.00,937.50,"1,071.00","1,104.00","1,126.50","1,150.50",498.00
